unix_time,EPOCH to date,rm3100_mag_x,rm3100_mag_y,rm3100_mag_z,rm3100_cycle_count,,Mag_x_scaled,Mag_y_scaled,Mag_z_scaled,Magnetic_field_magnitude (uT)
1763822713,11/22/2025 9:45:13,-256,778,3614,200,,,,,
1763822746,11/22/2025 9:45:46,-253,776,3619,200,,,,,
1763822754,11/22/2025 9:45:54,-248,771,3621,200,,,,,
1763822766,11/22/2025 9:46:06,-250,774,3620,200,,,,,
1763822779,11/22/2025 9:46:19,-254,777,3615,200,,,,,
1763822788,11/22/2025 9:46:28,-250,777,3614,200,,,,,
1763822797,11/22/2025 9:46:37,-256,786,3618,200,,,,,
1763822811,11/22/2025 9:46:51,-438,779,3583,200,,,,,
1763822820,11/22/2025 9:47:00,-520,635,3608,200,,,,,
1763822829,11/22/2025 9:47:09,-651,391,3636,200,,,,,
1763822833,11/22/2025 9:47:13,-1569,-1497,3132,200,,,,,
1763822841,11/22/2025 9:47:21,-2183,-1315,3050,200,,,,,
1763822846,11/22/2025 9:47:26,-2446,-2063,2672,200,,,,,
1763822856,11/22/2025 9:47:36,-1331,-2277,3083,200,,,,,
1763822862,11/22/2025 9:47:42,-2124,-901,2957,200,,,,,
1763822866,11/22/2025 9:47:46,-2373,28,2758,200,,,,,
1763822881,11/22/2025 9:48:01,-1958,-721,2909,200,,,,,
1763822892,11/22/2025 9:48:12,-1658,-27,3481,200,,,,,
1763822897,11/22/2025 9:48:17,-1656,-421,3345,200,,,,,
1763822902,11/22/2025 9:48:22,-1436,-1156,3188,200,,,,,
1763822912,11/22/2025 9:48:32,-1966,-950,3087,200,,,,,
1763822925,11/22/2025 9:48:45,1742,-1417,3083,200,,,,,
1763822939,11/22/2025 9:48:59,-2212,-500,3134,200,,,,,
1763822950,11/22/2025 9:49:10,-1382,656,3399,200,,,,,
1763822969,11/22/2025 9:49:29,-1405,901,3157,200,,,,,
1763822975,11/22/2025 9:49:35,-1739,568,3175,200,,,,,
1763822985,11/22/2025 9:49:45,-1332,552,3458,200,,,,,
1763822998,11/22/2025 9:49:58,-1230,424,3521,200,,,,,
1763823005,11/22/2025 9:50:05,-1038,480,3562,200,,,,,
1763823014,11/22/2025 9:50:14,-1673,140,3338,200,,,,,
1763823024,11/22/2025 9:50:24,-1050,385,3571,200,,,,,
1763823031,11/22/2025 9:50:31,-1359,-17,3452,200,,,,,
1763823052,11/22/2025 9:50:52,-1065,235,3789,200,,,,,
1763823059,11/22/2025 9:50:59,-1253,-69,3503,200,,,,,
1763823067,11/22/2025 9:51:07,-1303,-483,3471,200,,,,,
1763823072,11/22/2025 9:51:12,-1156,647,3651,200,,,,,
1763823093,11/22/2025 9:51:33,-1279,145,3514,200,,,,,
1763823104,11/22/2025 9:51:44,-1301,153,3583,200,,,,,
1763823127,11/22/2025 9:52:07,-1989,170,3193,200,,,,,
1763823134,11/22/2025 9:52:14,-1776,466,3235,200,,,,,
1763823138,11/22/2025 9:52:18,-1706,502,3320,200,,,,,
1763823145,11/22/2025 9:52:25,-1525,182,3454,200,,,,,
1763823148,11/22/2025 9:52:28,-1556,297,3381,200,,,,,
1763823156,11/22/2025 9:52:36,-1344,474,3492,200,,,,,
1763823163,11/22/2025 9:52:43,-1297,466,3520,200,,,,,
1763823179,11/22/2025 9:52:59,-1478,111,3441,200,,,,,
1763823184,11/22/2025 9:53:04,-1006,294,3676,200,,,,,
1763823196,11/22/2025 9:53:16,-1309,147,3522,200,,,,,
1763823209,11/22/2025 9:53:29,-1149,-260,3576,200,,,,,
1763823215,11/22/2025 9:53:35,-1409,-251,3382,200,,,,,
1763823230,11/22/2025 9:53:50,-1348,-147,3474,200,,,,,
1763823235,11/22/2025 9:53:55,-1112,-189,3593,200,,,,,
1763823244,11/22/2025 9:54:04,-1506,-446,3374,200,,,,,
1763823249,11/22/2025 9:54:09,-1287,-207,3520,200,,,,,
1763823259,11/22/2025 9:54:19,-729,45,3731,200,,,,,
1763823284,11/22/2025 9:54:44,-806,1106,3595,200,,,,,
1763823299,11/22/2025 9:54:59,-622,238,3817,200,,,,,
1763823306,11/22/2025 9:55:06,-1290,15,3660,200,,-17.2,0.2,48.8,51.74282559
1763823314,11/22/2025 9:55:14,-1294,141,3520,200,,-17.25333333,1.88,46.93333333,50.0394813
1763823320,11/22/2025 9:55:20,-1261,-236,3534,200,,-16.81333333,-3.146666667,47.12,50.12867532
1763823325,11/22/2025 9:55:25,-1175,-322,3588,200,,-15.66666667,-4.293333333,47.84,50.52269545
1763823337,11/22/2025 9:55:37,-1195,-41,3659,200,,-15.93333333,-0.5466666667,48.78666667,51.32551802
1763823343,11/22/2025 9:55:43,-1133,-158,3616,200,,-15.10666667,-2.106666667,48.21333333,50.56851722
1763823349,11/22/2025 9:55:49,-1414,-1199,3283,200,,-18.85333333,-15.98666667,43.77333333,50.27053212
1763823361,11/22/2025 9:56:01,-1280,974,3553,200,,-17.06666667,12.98666667,47.37333333,52.0015128
1763823369,11/22/2025 9:56:09,-1170,-1132,3442,200,,-15.6,-15.09333333,45.89333333,50.7677728
1763823375,11/22/2025 9:56:15,800,-3956,-614,200,,10.66666667,-52.74666667,-8.186666667,54.43353868
1763823408,11/22/2025 9:56:48,669,-4012,142,200,,8.92,-53.49333333,1.893333333,54.26497786
1763823412,11/22/2025 9:56:52,302,-3959,751,200,,4.026666667,-52.78666667,10.01333333,53.87868843
1763823417,11/22/2025 9:56:57,2376,-3275,-48,200,,31.68,-43.66666667,-0.64,53.95192098
1763823428,11/22/2025 9:57:08,-560,-3819,1098,200,,-7.466666667,-50.92,14.64,53.50632777
1763823437,11/22/2025 9:57:17,-3126,-2307,-117,200,,-41.68,-30.76,-1.56,51.8250287
1763823445,11/22/2025 9:57:25,335,-3445,1960,200,,4.466666667,-45.93333333,26.13333333,53.03558554
1763823450,11/22/2025 9:57:30,-2074,-2880,1621,200,,-27.65333333,-38.4,21.61333333,52.02310085
1763823458,11/22/2025 9:57:38,-259,-4043,-451,200,,-3.453333333,-53.90666667,-6.013333333,54.35084544
1763823468,11/22/2025 9:57:48,-2932,-2258,-1244,200,,-39.09333333,-30.10666667,-16.58666667,52.05590841
1763823477,11/22/2025 9:57:57,-185,-3346,2079,200,,-2.466666667,-44.61333333,27.72,52.58167319
1763823484,11/22/2025 9:58:04,-1033,-3843,554,200,,-13.77333333,-51.24,7.386666667,53.5705624
1763823487,11/22/2025 9:58:07,-2381,-2863,-1339,200,,-31.74666667,-38.17333333,-17.85333333,52.76168812
1763823493,11/22/2025 9:58:13,-734,-3665,1378,200,,-9.786666667,-48.86666667,18.37333333,53.11599885
1763823496,11/22/2025 9:58:16,1215,-3870,261,200,,16.2,-51.6,3.48,54.19511417
1763823500,11/22/2025 9:58:20,-596,-3721,1324,200,,-7.946666667,-49.61333333,17.65333333,53.25666656
1763823507,11/22/2025 9:58:27,-2046,-3304,765,200,,-27.28,-44.05333333,10.2,52.8103643
1763823515,11/22/2025 9:58:35,-110,-3750,1371,200,,-1.466666667,-50,,50.02150649
1763823518,11/22/2025 9:58:38,579,-3823,1113,200,,7.72,-50.97333333,,51.5546226
1763823529,11/22/2025 9:58:49,-1412,-3762,32,200,,-18.82666667,-50.16,,53.57675781
1763823539,11/22/2025 9:58:59,497,-3538,1781,200,,6.626666667,-47.17333333,,47.63649954
1763823545,11/22/2025 9:59:05,-1293,-3798,186,200,,-17.24,-50.64,,53.49417912
1763823550,11/22/2025 9:59:10,-1738,-2146,2628,200,,-23.17333333,-28.61333333,35.04,50.8284155
1763823554,11/22/2025 9:59:14,679,-4019,-273,200,,9.053333333,-53.58666667,-3.64,54.46781884
1763823558,11/22/2025 9:59:18,-2574,-2561,1305,200,,-34.32,-34.14666667,17.4,51.44528399
1763823564,11/22/2025 9:59:24,-2317,-3205,53,200,,-30.89333333,-42.73333333,0.7066666667,52.73552124
1763823568,11/22/2025 9:59:28,-1231,-3598,-1398,200,,-16.41333333,-47.97333333,-18.64,54.02117939
1763823574,11/22/2025 9:59:34,-2993,-2311,-970,200,,-39.90666667,-30.81333333,-12.93333333,52.05069324
1763823578,11/22/2025 9:59:38,-1423,-3758,-311,200,,-18.97333333,-50.10666667,-4.146666667,53.73881527
1763823582,11/22/2025 9:59:42,-1546,-3619,-861,200,,-20.61333333,-48.25333333,-11.48,53.71297878
1763823591,11/22/2025 9:59:51,-1841,-3396,864,200,,-24.54666667,-45.28,11.52,52.77809815
1763823603,11/22/2025 10:00:03,931,-3929,365,200,,12.41333333,-52.38666667,4.866666667,54.05680469
