accel_x,accel_y,accel_z,batt_current,batt_voltage,bme_altitude,bme_humidity,bme_pressure,bme_temp,cpu_load,cpu_temp,free_disk,free_memory,gps_alt,gps_lat,gps_lon,gps_num_sats,gps_velocity,gyro_x,gyro_y,gyro_z,i_3v3,i_5v0,i_vbatt,mag_x,mag_y,mag_z,num_resets,packet_count,reg_temp_3v3,reg_temp_5v0,temp,temp2,temp3,tmp1,tmp2,unix_time,used_disk,used_memory,v_3v3,v_5v0,v_vbatt
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.7055533862169,31.532826259349303,981.2721315754508,23.9305859375,31.41,50.5,22665976.0,100084.0,23594.0,41.9763355,-84.7935471667,8.0,1.191452304,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758190.4391656,6198440.0,195872.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1581000244140624,12.39013671875,269.7055533862169,31.532826259349303,981.2721315754508,23.9305859375,31.41,50.5,22665976.0,100084.0,23610.0,41.9763148333,-84.7935215,8.0,1.879263932,-182.0,-54.0,267.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-410.0,413.0,-41.0,164.0,11.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758191.6910589,6198440.0,195872.0,3.340607699968957,5.1007668368787655,12.401529947916668
-832.0,16264.0,496.0,0.1581000244140624,12.39013671875,269.7055533862169,31.532826259349303,981.2721315754508,23.9305859375,31.41,50.5,22665976.0,100084.0,23610.0,41.9763148333,-84.7935215,8.0,1.879263932,-182.0,-54.0,267.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-410.0,413.0,-41.0,164.0,12.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758192.502499,6198440.0,195872.0,3.340607699968957,5.1007668368787655,12.401529947916668
-832.0,16264.0,496.0,0.1581000244140624,12.39013671875,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,31.41,50.5,22665976.0,100084.0,23610.0,41.9763148333,-84.7935215,8.0,1.879263932,-182.0,-54.0,267.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-410.0,413.0,-41.0,164.0,12.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758194.8907845,6198440.0,195872.0,3.340607699968957,5.1007668368787655,12.401529947916668
-832.0,16264.0,496.0,0.1581000244140624,12.39013671875,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,47.22,51.5,22665972.0,46152.0,23610.0,41.9763148333,-84.7935215,8.0,1.879263932,-182.0,-54.0,267.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-410.0,413.0,-41.0,164.0,12.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758196.917591,6198444.0,193824.0,3.340607699968957,5.1007668368787655,12.401529947916668
-832.0,16264.0,496.0,0.1581000244140624,12.39013671875,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,47.22,51.5,22665972.0,46152.0,23610.0,41.9763148333,-84.7935215,8.0,1.879263932,-182.0,-54.0,267.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-410.0,413.0,-41.0,164.0,12.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758202.0648391,6198444.0,193824.0,3.340607699968957,5.1007668368787655,12.401529947916668
-824.0,16080.0,584.0,0.1581000244140624,12.39013671875,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,47.22,51.5,22665972.0,46152.0,23610.0,41.9763148333,-84.7935215,8.0,1.879263932,88.0,762.0,1350.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-409.0,420.0,-40.0,164.0,12.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758203.2018988,6198444.0,193824.0,3.340607699968957,5.1007668368787655,12.401529947916668
-824.0,16080.0,584.0,0.1581000244140624,12.39013671875,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,47.22,51.5,22665972.0,46152.0,23696.0,41.975911,-84.7932943333,8.0,4.486980568,88.0,762.0,1350.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-409.0,420.0,-40.0,164.0,12.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758204.3302605,6198444.0,193824.0,3.340607699968957,5.1007668368787655,12.401529947916668
-824.0,16080.0,584.0,0.1593208740234374,12.378743489583334,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,47.22,51.5,22665972.0,46152.0,23704.0,41.9758451667,-84.7932463333,8.0,4.3969528680000005,88.0,762.0,1350.0,0.0347917785644531,0.1220849609374999,0.0323525146484375,-409.0,420.0,-40.0,164.0,13.0,33.00431356505692,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758205.2432268,6198444.0,193824.0,3.33736596518005,5.093420557228916,12.401529947916668
-824.0,16080.0,584.0,0.1581000244140624,12.39013671875,269.63316728458267,31.51840795200385,981.2806030690627,23.957734375,47.22,51.5,22665972.0,46152.0,23696.0,41.975911,-84.7932943333,8.0,4.486980568,88.0,762.0,1350.0,0.0360125427246093,0.1220849609374999,0.032962939453125,-409.0,420.0,-40.0,164.0,13.0,32.744702526851825,32.277290494235785,1.0,3.0,6.0,24.5625,25.625,1763758205.4383996,6198444.0,193824.0,3.340607699968957,5.1007668368787655,12.401529947916668
